input,output
"Is Ethylbenzene classified as a Cyclic Hydrocarbon (Cyclanes, Cyclohexanes or Cycloterpenes) under the HS code 2902600000 in the Moroccan Customs Tariff?","Ethylbenzene may or may not be a part of the Cyclic Hydrocarbons (Cyclanes, Cyclohexanes or Cycloterpenes) under the HS code 2902600000 in the Moroccan Customs Tariff."
What is the specific HS code for Cumene in Moroccan customs tariff classification?,HS:2902700000
Which chapter does the HS code HS:2902700000 belong to in Moroccan customs tariff classification?,Chapter 29: Organic Chemicals
What product is represented by the HS code HS:2902700000 in Moroccan customs tariff classification?,Cumene
What is the first level of classification for Cumene in Moroccan customs tariff classification?,29 - Chapter 29: Organic Chemicals
"What is the HS tariff code for naphthalene that may or may not be a part of cyclic hydrocarbons such as Cyclanical, Cyclenical, or Cycloterpenic compounds in Moroccan customs tariff?",HS:2902900010
Under which chapter is the HS tariff code HS:2902900010 classified in Moroccan customs tariff?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS tariff code HS:2902900010 refer to in Moroccan customs tariff?,"Naphthalene that may or may not be a part of cyclic hydrocarbons such as Cyclanical, Cyclenical, or Cycloterpenic compounds"
What is the first level of classification for naphthalene in Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
"Is chloromethane included in the category of 'Halogenated derivatives of hydrocarbons, Saturated halogenated derivatives of acyclic hydrocarbons'?",Yes
In which chapter of the Moroccan Customs Tariff is chloromethane (HS:2903110010) classified?,Chapter 29: Organic Chemicals
What type of organic chemical does the HS code HS:2903110010 represent?,Chloromethane
What is the first level of classification for chloromethane (HS:2903110010) in the Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for chloroethane in the Moroccan Customs tariff?,HS:2903110090
Which chapter in the Moroccan Customs tariff does the HS code HS:2903110090 belong to?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code HS:2903110090 represent in the Moroccan Customs tariff?,"Halogenated hydrocarbons, Chlorinated saturated hydrocarbons, Acyclic compounds"
Is chloroethane included in the category of Halogenated hydrocarbons according to the HS code HS:2903110090?,"Yes, chloroethane is included in the category of Halogenated hydrocarbons"
What is the HS code for Dichloromethane (methylene chloride)?,HS:2903120000
Which chapter in the Moroccan customs tariff does the HS code 2903120000 belong to?,Chapter 29: Organic chemicals
What type of chemicals does the HS code 2903120000 represent in customs tariff classification?,"Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
Is Dichloromethane (methylene chloride) included in the subcategory 'Halogenated derivatives of hydrocarbons' within the HS code 2903120000?,Yes
Is chloroform (trichloromethane) classified under the category of halogenated derivatives of hydrocarbons in the Moroccan Customs Tariff?,"Yes, chloroform (trichloromethane) is classified under the category of halogenated derivatives of hydrocarbons, specifically as Chlorinated saturated acyclic hydrocarbons in Chapter 29: Organic Chemicals."
Which chapter does the HS code 'HS:2903130000' for chloroform (trichloromethane) belong to in the Moroccan Customs Tariff?,Chapter 29: Organic Chemicals
What is the specific HS code for chloroform (trichloromethane) in the Moroccan Customs Tariff?,HS:2903130000
What is the category of chemicals that chloroform (trichloromethane) falls under in the Moroccan Customs Tariff?,Chlorinated saturated acyclic hydrocarbons
"Is tetrachloride of carbon included in the category of 'Halogenated derivatives of hydrocarbons, Chlorinated derivatives of acyclic hydrocarbons'?","Yes, tetrachloride of carbon (HS:2903140000) is included in the category of 'Halogenated derivatives of hydrocarbons, Chlorinated derivatives of acyclic hydrocarbons'"
What is the chapter number in Morocco's customs tariff for HS code 2903140000 (Tetrachloride of carbon)?,The HS code 2903140000 is located in chapter 29: 'Organic chemicals' in Morocco's customs tariff
"Does the HS code 2903140000 (Tetrachloride of carbon) belong to the category of 'Halogenated derivatives of hydrocarbons, Chlorinated derivatives of acyclic hydrocarbons' in Morocco's customs tariff?","Yes, HS code 2903140000 (Tetrachloride of carbon) is included in the category of 'Halogenated derivatives of hydrocarbons, Chlorinated derivatives of acyclic hydrocarbons'"
What is the first level of classification for Tetrachloride of carbon (HS:2903140000) in Morocco's customs tariff?,The first level of classification for Tetrachloride of carbon is '29 - Chapter 29: Organic chemicals'
"What is the specific HS code for 1,2-Dichloroethane (also known as ethylene dichloride)?",2903150000
Which chapter in the customs tariff classification does the HS code 2903150000 belong to?,Chapter 29: Organic chemicals
What type of chemicals are represented by the HS code 2903150000 in customs tariff classification?,"Halogenated derivatives of hydrocarbons, Chlorinated saturated hydrocarbons, Acyclic hydrocarbons"
"Is 1,2-Dichloroethane (HS:2903150000) classified under Halogenated derivatives of hydrocarbons in the customs tariff?",Yes
"What is the specific HS code for 1,1,1 Trichloroethane (methyl chloroform)?",HS:2903190010
"In which chapter of the Moroccan customs tariff is the HS code HS:2903190010 (1,1,1 Trichloroethane) located?",Chapter 29: Organic Chemicals
"Is 1,1,1 Trichloroethane (HS:2903190010) classified under Halogenated derivatives of hydrocarbons in the customs tariff?",Yes
"Which subcategory of Chapter 29 does the HS code HS:2903190010 (1,1,1 Trichloroethane) belong to?",Chlorinated saturated derivatives of acyclic hydrocarbons
"What is the HS code for the chemical compound group containing 1,2-dichloropropane and dichlorobutanes?",HS:2903190020
Which chapter in the customs tariff classification does the HS code 2903190020 belong to?,Chapter 29: Organic chemicals
What type of chemical compounds are represented by the HS code 2903190020 in customs tariff classification?,"Halogenated hydrocarbons, saturated chlorinated hydrocarbons, acyclic hydrocarbon derivatives"
"Does the HS code 2903190020 specifically refer to 1,2-dichloropropane?","Yes, 1,2-dichloropropane is included in the HS code 2903190020, but dichlorobutanes may or may not be included"
What type of chlorinated derivatives does the HS code HS:2903190090 represent in Morocco's customs?,Other unsaturated chlorinated derivatives of acyclic hydrocarbons
In which chapter of Morocco's customs tariff classification does the HS code for saturated chlorinated derivatives of acyclic hydrocarbons fall?,Chapter 29: Organic chemicals
What kind of hydrocarbon derivatives are covered by the HS code 2903190090 in Morocco's customs tariff classification?,"Other unsaturated chlorinated derivatives, which may or may not be halogenated hydrocarbon derivatives"
Which level of the HS code 2903190090 represents other unsaturated chlorinated derivatives of acyclic hydrocarbons in Morocco's customs tariff classification?,HS heading 2903
What is the specific HS code for chloroethylene (vinyl chloride)?,HS:2903210000
Which chapter in the Moroccan customs tariff does the HS code 2903210000 belong to?,Chapter 29: Organic Chemicals
What is the chemical represented by the HS code 2903210000 in customs tariff classification?,Chloroethylene (vinyl chloride)
"Is chloroethylene classified under 'Halogenated hydrocarbons, Saturated chlorinated hydrocarbons of acyclic compounds' in the Moroccan customs tariff?","Chloroethylene (vinyl chloride) may or may not be classified under 'Halogenated hydrocarbons, Saturated chlorinated hydrocarbons of acyclic compounds' in the Moroccan customs tariff."
What is the HS code for Trichloroethylene in the Moroccan Customs Tariff?,HS:2903220000
In which chapter of the Moroccan Customs Tariff is Trichloroethylene classified?,Chapter 29: Organic Chemicals
"Is Trichloroethylene included in the category of Halogenated derivatives of hydrocarbons, Chlorinated saturated hydrocarbons, Acyclic?","Yes, Trichloroethylene is included in the category of Halogenated derivatives of hydrocarbons, Chlorinated saturated hydrocarbons, Acyclic"
What is the first level of classification for Trichloroethylene in the Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for Tetrachloroethylene (perchloroethylene)?,2903230000
Which chapter in the Moroccan Customs does the HS code 2903230000 belong to?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code 2903230000 represent in Moroccan Customs?,"Tetrachloroethylene (perchloroethylene) - Halogenated derivatives of hydrocarbons, Chlorinated saturated derivatives of acyclic hydrocarbons"
What is the first level of classification for Tetrachloroethylene (perchloroethylene) in Moroccan Customs?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for Trifluoromethane (HFC23)?,2903410000
In which chapter of the Moroccan customs tariff is Trifluoromethane (HFC23) classified?,Chapter 29: Organic chemicals
Which category of organic chemicals does the HS code 2903410000 represent in customs tariff classification?,"Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
What is the first level of classification for Trifluoromethane (HFC23) in customs tariff?,29 - Chapter 29: Organic chemicals
What is the specific HS code for Difluoromethane (HFC32) in Moroccan Customs?,HS:2903420000
Which chapter in the Moroccan customs tariff classification does the HS code 2903420000 belong to?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code 2903420000 represent in Moroccan customs tariff classification?,"Halogenated derivatives of unsaturated hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
Is Difluoromethane (HFC32) included in the category of HS:2903420000 in Moroccan customs tariff classification?,"Yes, Difluoromethane (HFC32) is included in the category of HS:2903420000"
What is the HS code for the chemical compound fluoromethane (HFC41) in Moroccan customs tariff?,HS:2903430010
In which chapter of the Moroccan customs tariff is the HS code HS:2903430010 (fluoromethane) classified?,Chapter 29: Organic Chemicals
Is fluoromethane (HFC41) included in the category of halogenated derivatives of hydrocarbons or saturated chlorinated derivatives of acyclic hydrocarbons according to the HS code HS:2903430010?,"Fluoromethane (HFC41) may or may not be included in Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
What is the fine level classification of fluoromethane (HFC41) according to the HS code HS:2903430010 in Moroccan customs tariff?,HS:2903430010 - Fluoromethane (HFC41)
"What is the specific HS code for 1,2-difluoroethane (HFC152)?",HS:2903430020
In which chapter of the Moroccan Customs Tariff is the HS code HS:2903430020 classified?,Chapter 29: Organic Chemicals
What type of chemical does the HS code HS:2903430020 represent in the Moroccan Customs Tariff?,Halogenated hydrocarbon derivatives or specifically saturated chlorinated hydrocarbons of acyclic hydrocarbons
"What is the first level of classification for 1,2-difluoroethane (HFC152) in the Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for 1,1-difluoroethane (HFC152a)?",2903430030
Which chapter in the Moroccan Customs does the HS code 2903430030 belong to?,Chapter 29: Organic Chemicals
What type of chemical is represented by the HS code 2903430030 in the Moroccan Customs?,"Halogenated derivatives of hydrocarbons, specifically saturated chlorinated derivatives of acyclic hydrocarbons or more precisely 1,1-difluoroethane (HFC152a)"
"What is the first level of classification for 1,1-difluoroethane (HFC152a) in the Moroccan Customs?",29 - Chapter 29: Organic Chemicals
What is the specific HS code for dichlorotetrafluoroethanes?,HS:2903440010
Which chapter in the Moroccan Customs Tariff does the HS code HS:2903440010 belong to?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code HS:2903440010 represent in the Moroccan Customs Tariff classification?,Dichlorotetrafluoroethanes
Is the HS code HS:2903440010 included in the category of Halogenated derivatives of hydrocarbons or Saturated chlorinated derivatives of acyclic hydrocarbons?,"Yes, it may be included in either category"
"What is the specific HS code for 1,1,1-Trifluoroethane (HFC143a) in Moroccan Customs Tariff?",HS:2903440020
In which chapter of the Moroccan Customs Tariff is the HS code HS:2903440020 classified?,Chapter 29: Organic Chemicals
What type of chemical is represented by the HS code HS:2903440020 in Moroccan Customs Tariff?,"Halogenated Derivatives of Hydrocarbons or Saturated Chlorinated Derivatives of Acyclic Hydrocarbons (1,1,1-Trifluoroethane or HFC143a)"
"What is the first level of classification for 1,1,1-Trifluoroethane (HFC143a) in Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for 1,1,2 trifluoroethane (HFC143)?",HS:2903440030
In which chapter of the Moroccan Customs is the HS code HS:2903440030 classified?,Chapter 29: Organic Chemicals
Which category of halogenated derivatives does the HS code HS:2903440030 represent?,"Halogenated Derivatives of Hydrocarbons, Saturated Chlorinated Derivatives of Acyclic Hydrocarbons"
What is the full description of the HS code HS:2903440030 in Moroccan Customs?,"1,1,2 trifluoroethane (HFC143)"
"What is the specific HS code for 1,1,1,2-Tetrafluoroethane (HFC134a)?",HS:2903450010
In which chapter of the Moroccan Customs is the HS code 2903450010 located?,Chapter 29: Organic chemicals
"How is 1,1,1,2-Tetrafluoroethane (HFC134a) classified in the customs tariff?","Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
"What is the first level of classification for 1,1,1,2-Tetrafluoroethane (HFC134a) in customs tariff?",29 - Chapter 29: Organic chemicals
"What is the specific HS code for 1,1,1,2-Tetrafluoroethane (HFC134) in Moroccan customs tariff?",2903450020
"In which chapter of the Moroccan customs tariff is the HS code 2903450020 (1,1,1,2-Tetrafluoroethane) located?",Chapter 29: Organic chemicals
"What type of organic chemicals does the HS code 2903450020 (1,1,1,2-Tetrafluoroethane) represent in Moroccan customs tariff?",Halogenated derivatives of hydrocarbons or Saturated chlorinated derivatives of acyclic hydrocarbons
"What is the first level of classification for 1,1,1,2-Tetrafluoroethane (HFC134) in Moroccan customs tariff?",29 - Chapter 29: Organic chemicals
"What is the specific HS code for 1,1,1,2,3,3,3 Heptafluoropropane (HFC227ea)?",HS:2903460010
In which chapter of the Moroccan Customs is HS code 2903460010 classified?,Chapter 29: Organic Chemicals
What type of chemical does the HS code 2903460010 represent in customs tariff classification?,"Halogenated hydrocarbon derivatives, specifically saturated chlorinated hydrocarbons of acyclic hydrocarbons, and 1,1,1,2,3,3,3 Heptafluoropropane (HFC227ea)"
"What is the first level of classification for 1,1,1,2,3,3,3 Heptafluoropropane (HFC227ea) in customs tariff?",29 - Chapter 29: Organic Chemicals
What is the specific HS code for bromotrifluoromethane in Morocco's customs tariff?,HS:2903460020
In which chapter of Morocco's customs tariff is the HS code 2903460020 (bromotrifluoromethane) located?,Chapter 29: Organic chemicals
"Does the HS code 2903460020 (bromotrifluoromethane) fall under the category of Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons in Morocco's customs tariff?",Yes
What is the first level of classification for bromotrifluoromethane (HS:2903460020) in Morocco's customs tariff?,29 - Chapter 29: Organic chemicals
"What is the specific HS code for 1,1,1,2,3,3-hexafluoropropane (HFC236ea) in Moroccan Customs Tariff?",HS:2903460030
In which chapter of the Moroccan Customs Tariff is the HS code HS:2903460030 classified?,Chapter 29: Organic Chemicals
What type of chemical is represented by the HS code HS:2903460030 in Moroccan Customs Tariff?,"1,1,1,2,3,3-hexafluoropropane (HFC236ea), which may or may not be classified as a halogenated derivative of an acyclic hydrocarbon or a saturated chlorinated derivative of an acyclic hydrocarbon"
"What is the first level of classification for 1,1,1,2,3,3-hexafluoropropane (HFC236ea) in Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for 1,1,1,1,3,3,3-hexafluoropropane (HFC236fa)?",HS:2903460040
In which chapter of the Moroccan Customs Tariff is the HS code HS:2903460040 classified?,Chapter 29: Organic Chemicals
What type of chemical is represented by the HS code HS:2903460040 in customs tariff classification?,Halogenated hydrocarbon derivatives or saturated chlorinated hydrocarbons of acyclic hydrocarbons
"What is the first level of classification for 1,1,1,1,3,3,3-hexafluoropropane (HFC236fa) in customs tariff?",29 - Chapter 29: Organic Chemicals
What is the exact HS code referred to in this text?,HS:2903470010
To which category of organic chemicals does the HS code 2903470010 belong?,"Halogenated hydrocarbon derivatives, specifically saturated chlorinated acyclic hydrocarbon derivatives"
"Is 1,1,1,3,3-pentafluoropropane (HFC245fa) classified as a halogenated hydrocarbon derivative?",Yes
Which chapter in the Moroccan customs tariff does the HS code 2903470010 belong to?,Chapter 29: Organic Chemicals
What product does the HS code HS:2903470020 represent in Moroccan customs tariff?,"1,1,1,2,3-Pentafluoropropane (HFC-245ca)"
In which chapter of the Moroccan customs tariff is the HS code HS:2903470020 classified?,Chapter 29: Organic chemicals
"Is 1,1,1,2,3-Pentafluoropropane (HFC-245ca) included in Halogenated derivatives of hydrocarbons and Saturated chlorinated derivatives of acyclic hydrocarbons according to the HS code HS:2903470020?",Yes
"What is the first level of classification for 1,1,1,2,3-Pentafluoropropane (HFC-245ca) in Moroccan customs tariff?",29 - Chapter 29: Organic chemicals
"What is the exact HS code referred to in the Moroccan customs tariff for 1,1,1,3,3-pentafluorobutane (HFC365 mfc)?",HS:2903480010
Which chapter in the Moroccan customs tariff does the HS code 2903480010 belong to?,Chapter 29: Organic Chemicals
What type of chemical is represented by the HS code 2903480010 in the Moroccan customs tariff?,Halogenated derivatives of hydrocarbons or saturated chlorinated derivatives of acyclic hydrocarbons (may or may not be applicable)
"What is the first level of classification for 1,1,1,3,3-pentafluorobutane (HFC365 mfc) in the Moroccan customs tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for 1,1,1,2,2,3,4,5,5,5-Decafluoropentane (HFC-4310mee)?",HS:2903480020
In which chapter of the Moroccan Customs is the HS code HS:2903480020 classified?,Chapter 29: Organic chemicals
"Is 1,1,1,2,2,3,4,5,5,5-Decafluoropentane (HFC-4310mee) classified as Halogenated derivatives of hydrocarbons/Chlorinated saturated acyclic hydrocarbon derivatives?","Possibly, but not explicitly stated in the given HS code"
"What is the first level of classification for 1,1,1,2,2,3,4,5,5,5-Decafluoropentane (HFC-4310mee) in customs tariff?",29 - Chapter 29: Organic chemicals
What is the specific HS code for ethylfluoride (HFC161)?,2903490010
Under which chapter is the HS code for ethylfluoride classified in Moroccan customs department?,Chapter 29: Organic Chemicals
What type of chemical does the HS code 'HS:2903490010' represent according to the Moroccan customs tariff classification?,Ethylfluoride (HFC161)
What is the first level of classification for ethylfluoride (HFC161) in Moroccan customs tariff?,'HS:29' - Chapter 29: Organic Chemicals
What is the specific HS code for fluoropropane (HFC281)?,2903490020
Which chapter in the Moroccan Customs does the HS code 2903490020 belong to?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code 2903490020 represent in the Moroccan Customs?,"Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
What is the first level of classification for fluoropropane (HFC281) in Moroccan Customs?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for difluoropropane (HFC272)?,2903490030
In which chapter of the Moroccan customs tariff is the HS code 2903490030 (difluoropropane) located?,Chapter 29: Organic Chemicals
Which type of halogenated hydrocarbon derivatives is represented by the HS code 2903490030 in customs tariff classification?,"Difluoropropane (HFC272), which may or may not be included in halogenated hydrocarbon derivatives, specifically saturated chlorinated acyclic hydrocarbon derivatives"
What is the first level of classification for difluoropropane (HFC272) in customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for trifluoropropane (HFC263) according to the Moroccan customs tariff system?,HS:2903490040
In which chapter is trifluoropropane (HFC263) classified under the Moroccan custom department tariff system?,Chapter 29: Organic Chemicals
What kind of chemicals does the HS code 2903490040 represent in the Moroccan customs tariff system?,Trifluoropropane (HFC263)
What is the first level of classification for trifluoropropane (HFC263) in the Moroccan customs tariff system?,29 - Chapter 29: Organic Chemicals
"What is the HS code for 1,1,2,2-tetrafluoropropane (HFC254cb) in Moroccan customs tariff?",HS:2903490050
In which chapter of the Moroccan customs tariff is the HS code HS:2903490050 classified?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code HS:2903490050 represent in Moroccan customs tariff?,"Halogenated derivatives of hydrocarbons, saturated chlorinated derivatives of acyclic hydrocarbons"
"What is the first level of classification for 1,1,2,2-tetrafluoropropane (HFC254cb) in Moroccan customs tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for 1,1,3,3,3-pentafluoro-2-(trifluoromethyl)propene?",2903490060
In which chapter of the Moroccan Customs Tariff is the HS code 2903490060 found?,Chapter 29: Organic Chemicals
"Is 1,1,3,3,3-pentafluoro-2-(trifluoromethyl)propene classified as a halogenated derivative of hydrocarbons according to the HS code 2903490060?","Yes, it is classified as a halogenated derivative of hydrocarbons"
Does the HS code 2903490060 correspond to a saturated chlorinated acyclic hydrocarbon derivative?,"No, it does not correspond to a saturated chlorinated acyclic hydrocarbon derivative"
"Is 1,1,2,2,3,3,3-heptafluoropropane (HFC227a) classified as a halogenated derivative of an acyclic hydrocarbon or a saturated chlorinated derivative of an acyclic hydrocarbon according to the HS code 'HS:2903490070'?","1,1,2,2,3,3,3-heptafluoropropane (HFC227a) may not be classified as a halogenated derivative of an acyclic hydrocarbon or a saturated chlorinated derivative of an acyclic hydrocarbon according to the HS code 'HS:2903490070'"
Which chapter in the Moroccan Customs Tariff does the HS code 'HS:2903490070' belong to?,Chapter 29: Organic Chemicals
"What is the specific HS code for 1,1,2,2,3,3,3-heptafluoropropane (HFC227a) according to the Moroccan Customs Tariff?",'HS:2903490070'
What type of chemicals does the HS code 'HS:2903490070' represent in the Moroccan Customs Tariff?,"1,1,2,2,3,3,3-heptafluoropropane (HFC227a) is classified as a fluorinated derivative of an acyclic hydrocarbon according to the HS code 'HS:2903490070' in the Moroccan Customs Tariff"
What type of chemical derivatives are represented by the HS code HS:2903490090 in the Moroccan Customs Tariff?,"Other unsaturated fluorinated derivatives of acyclic hydrocarbons, which may or may not be part of halogenated hydrocarbon derivatives, specifically saturated chlorinated derivatives of acyclic hydrocarbons"
Which chapter in the Moroccan Customs Tariff does the HS code HS:2903490090 belong to?,Chapter 29: Organic Chemicals
What is the first level of classification for other unsaturated fluorinated derivatives of acyclic hydrocarbons in the Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
Which subcategory of organic chemicals does the HS code HS:2903490090 fall under in the Moroccan Customs Tariff?,Other unsaturated fluorinated derivatives of acyclic hydrocarbons - Heading 2903
"What is the specific HS code for 2,3,3,3-tetrafluoropropene (HFO1234yf)?",2903510010
Which chapter in the Moroccan Customs does the HS code 2903510010 belong to?,Chapter 29: Organic Chemicals
What type of chemical is represented by the HS code 2903510010 in customs tariff classification?,"Halogenated derivatives of hydrocarbons, specifically saturated chlorinated derivatives of acyclic hydrocarbons"
"Does the HS code 2903510010 include 2,3,3,3-tetrafluoropropene (HFO1234yf)?","Yes, the HS code 2903510010 includes 2,3,3,3-tetrafluoropropene (HFO1234yf)"
"What is the specific HS code for 1,3,3,3-tetrafluoropropene (HFO1234ze) in Moroccan customs tariff?",HS:2903510020
